department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
Pediatrics,20,Saturday,42,9,8,149
Emergency,6,Saturday,65,7,4,120
Pediatrics,23,Monday,36,8,16,323
Pediatrics,0,Friday,30,4,12,274
Cardiology,17,Tuesday,62,8,5,133
Cardiology,23,Saturday,43,6,13,294
Pediatrics,19,Sunday,24,3,14,261
Pediatrics,11,Wednesday,86,7,13,273
Pediatrics,15,Wednesday,54,3,3,142
Cardiology,9,Sunday,83,7,17,326
Pediatrics,9,Sunday,56,5,0,61
Pediatrics,13,Monday,90,4,11,285
Orthopedics,19,Wednesday,26,3,8,181
Emergency,9,Wednesday,57,8,9,181
Neurology,9,Tuesday,89,4,17,383
Emergency,10,Friday,70,8,16,293
Orthopedics,22,Thursday,47,3,18,437
Neurology,1,Wednesday,86,9,3,123
Pediatrics,19,Wednesday,27,6,15,258
Orthopedics,7,Thursday,81,5,6,181
Pediatrics,22,Wednesday,68,5,8,239
Cardiology,6,Tuesday,13,3,7,135
General Medicine,7,Tuesday,11,2,6,120
Orthopedics,0,Thursday,45,6,9,218
Cardiology,20,Saturday,58,1,7,405
Orthopedics,1,Wednesday,69,7,16,368
Orthopedics,17,Saturday,6,5,11,169
Cardiology,14,Wednesday,8,4,13,223
Neurology,0,Friday,82,9,11,270
Emergency,4,Wednesday,36,1,1,250
Pediatrics,1,Tuesday,6,4,11,219
Orthopedics,19,Monday,68,3,13,313
Pediatrics,2,Sunday,18,6,6,149
General Medicine,18,Monday,24,5,12,220
Cardiology,17,Monday,93,7,3,122
Pediatrics,21,Monday,53,1,0,276
Cardiology,17,Sunday,12,5,16,261
Pediatrics,13,Saturday,96,2,2,282
Emergency,23,Sunday,67,2,16,500
Emergency,7,Saturday,50,2,7,241
Emergency,11,Sunday,25,9,2,56
Emergency,20,Sunday,91,3,9,308
Emergency,9,Wednesday,36,4,1,65
Emergency,22,Saturday,12,5,3,81
Cardiology,19,Wednesday,99,4,13,334
Orthopedics,16,Friday,20,4,10,189
Pediatrics,10,Wednesday,44,5,13,252
Emergency,1,Monday,31,9,12,266
Cardiology,3,Thursday,22,9,3,87
Cardiology,0,Thursday,39,6,1,65
Cardiology,14,Tuesday,56,3,1,114
Orthopedics,12,Tuesday,19,6,10,175
Pediatrics,7,Wednesday,67,4,4,151
Orthopedics,3,Sunday,57,3,8,270
Neurology,9,Sunday,95,6,19,375
Cardiology,18,Thursday,85,6,16,322
Neurology,17,Monday,70,2,11,337
General Medicine,4,Saturday,35,9,17,336
Emergency,18,Monday,65,8,2,84
Emergency,22,Monday,68,6,4,161
Orthopedics,21,Wednesday,38,1,19,482
Pediatrics,15,Wednesday,59,2,13,350
Neurology,0,Friday,63,4,15,375
Pediatrics,11,Monday,7,7,18,293
Orthopedics,23,Sunday,21,9,8,170
Emergency,1,Sunday,82,5,16,384
Pediatrics,20,Monday,82,2,6,313
Pediatrics,7,Wednesday,50,1,9,398
Emergency,17,Wednesday,42,1,3,258
Neurology,15,Friday,39,5,9,181
Emergency,4,Friday,5,7,2,47
Pediatrics,21,Tuesday,33,9,8,147
Neurology,12,Thursday,8,9,12,201
Neurology,18,Monday,65,8,0,41
Emergency,2,Sunday,21,1,14,387
Pediatrics,7,Monday,32,5,14,252
Orthopedics,11,Friday,54,6,10,204
Pediatrics,1,Friday,94,6,9,263
Cardiology,10,Tuesday,12,4,6,120
General Medicine,11,Thursday,38,1,0,199
Orthopedics,17,Tuesday,63,3,6,203
Neurology,12,Sunday,22,4,4,99
Orthopedics,4,Thursday,99,4,15,428
Neurology,21,Saturday,63,4,7,190
Neurology,11,Monday,31,5,1,51
Orthopedics,1,Tuesday,20,9,7,164
Neurology,4,Friday,14,4,13,271
Neurology,6,Tuesday,80,9,3,97
Cardiology,23,Saturday,26,9,14,288
Pediatrics,11,Tuesday,20,1,6,202
Pediatrics,15,Monday,16,5,19,311
General Medicine,22,Saturday,79,9,7,184
General Medicine,7,Friday,88,4,10,265
Cardiology,8,Friday,55,5,1,84
General Medicine,14,Wednesday,5,4,8,140
Orthopedics,4,Saturday,31,2,5,186
Emergency,12,Wednesday,71,2,0,185
Emergency,4,Wednesday,16,2,2,100
Emergency,10,Monday,34,1,9,320
Cardiology,9,Tuesday,13,3,4,94
Cardiology,19,Friday,57,1,11,457
Neurology,12,Friday,65,4,0,92
Emergency,8,Tuesday,58,1,8,418
Orthopedics,20,Friday,41,4,12,243
General Medicine,13,Tuesday,69,3,18,402
Orthopedics,17,Saturday,46,9,6,121
General Medicine,14,Monday,53,1,15,501
Emergency,9,Monday,8,8,7,119
Emergency,23,Sunday,68,9,18,379
Emergency,6,Monday,83,7,6,158
Cardiology,7,Tuesday,55,1,3,336
General Medicine,2,Sunday,95,4,9,319
Cardiology,14,Tuesday,76,1,0,387
Cardiology,15,Thursday,64,4,16,333
Pediatrics,3,Sunday,91,3,12,406
Orthopedics,20,Friday,83,2,18,478
Orthopedics,5,Friday,95,1,12,600
Neurology,0,Thursday,35,6,8,194
Cardiology,3,Thursday,76,7,4,147
General Medicine,10,Monday,98,6,0,96
Pediatrics,11,Thursday,62,9,1,61
Pediatrics,4,Tuesday,86,9,10,250
Orthopedics,22,Wednesday,8,2,3,87
Cardiology,20,Tuesday,26,2,8,197
Neurology,15,Sunday,7,9,4,81
Cardiology,12,Thursday,83,1,4,474
Emergency,12,Friday,51,5,7,165
Cardiology,16,Tuesday,42,1,1,241
Emergency,6,Friday,37,7,6,120
Emergency,7,Tuesday,82,9,16,296
Neurology,12,Friday,52,6,10,199
General Medicine,22,Saturday,69,2,14,469
Orthopedics,15,Tuesday,30,6,2,56
Cardiology,3,Sunday,12,9,12,241
Emergency,7,Friday,54,3,17,355
Cardiology,15,Wednesday,84,9,19,334
General Medicine,20,Sunday,42,8,19,323
Orthopedics,9,Monday,14,7,2,51
General Medicine,11,Tuesday,46,8,1,50
Orthopedics,11,Wednesday,41,6,4,114
Pediatrics,4,Monday,30,3,19,417
Orthopedics,15,Tuesday,96,7,4,145
Neurology,0,Wednesday,16,4,12,251
General Medicine,8,Wednesday,88,5,7,194
Emergency,11,Sunday,53,8,15,256
Pediatrics,4,Saturday,18,7,17,327
Neurology,21,Wednesday,50,7,15,277
Cardiology,19,Saturday,39,8,0,31
General Medicine,21,Thursday,33,3,7,175
Emergency,23,Sunday,16,3,1,55
Orthopedics,2,Friday,86,2,4,338
Emergency,4,Sunday,48,1,14,548
Cardiology,1,Monday,70,6,13,317
Pediatrics,13,Friday,6,6,2,38
Pediatrics,1,Friday,63,8,6,162
General Medicine,12,Saturday,21,6,3,71
Pediatrics,6,Friday,14,6,10,164
General Medicine,9,Wednesday,22,1,11,276
General Medicine,12,Saturday,26,7,14,238
General Medicine,15,Friday,87,7,5,140
Orthopedics,13,Saturday,62,9,0,50
Neurology,10,Thursday,57,7,17,311
General Medicine,9,Saturday,5,8,13,205
General Medicine,5,Tuesday,92,4,6,261
Neurology,3,Wednesday,65,9,9,217
Emergency,20,Monday,93,1,8,600
General Medicine,0,Tuesday,35,8,1,53
Orthopedics,6,Tuesday,35,3,7,175
Pediatrics,23,Tuesday,70,1,0,433
Pediatrics,8,Friday,23,2,19,353
Cardiology,7,Saturday,57,6,1,69
Cardiology,4,Saturday,80,5,6,223
Pediatrics,18,Sunday,78,3,15,362
Pediatrics,9,Friday,99,9,3,107
Orthopedics,10,Wednesday,26,8,16,262
Neurology,14,Friday,27,3,3,96
Cardiology,5,Friday,91,2,2,319
Neurology,14,Friday,19,8,8,144
Orthopedics,4,Wednesday,30,5,14,304
Pediatrics,18,Sunday,7,9,19,299
General Medicine,21,Wednesday,91,1,2,502
Neurology,18,Thursday,24,3,11,215
Pediatrics,9,Sunday,44,5,14,255
Pediatrics,11,Thursday,43,2,19,396
Emergency,21,Thursday,76,3,7,245
Neurology,3,Thursday,22,4,11,241
General Medicine,17,Saturday,45,4,12,244
Neurology,15,Tuesday,74,9,14,256
Pediatrics,7,Tuesday,31,1,10,312
General Medicine,3,Thursday,19,9,16,310
Orthopedics,22,Thursday,41,9,11,240
Emergency,11,Monday,62,6,19,345
Pediatrics,1,Tuesday,9,1,17,379
Cardiology,3,Monday,77,6,15,355
Cardiology,4,Sunday,11,8,2,57
Emergency,2,Monday,45,5,8,200
Orthopedics,8,Friday,88,5,6,191
Pediatrics,20,Saturday,14,1,18,342
Neurology,17,Sunday,66,1,4,402
Emergency,10,Wednesday,30,8,18,289
Orthopedics,2,Tuesday,72,5,9,254
Neurology,22,Thursday,28,8,19,380
Cardiology,1,Sunday,82,2,11,465
Cardiology,8,Thursday,45,4,7,157
Neurology,13,Wednesday,69,9,2,72
Emergency,3,Sunday,21,3,18,388
Cardiology,8,Tuesday,28,6,10,184
Pediatrics,12,Sunday,31,7,7,131
General Medicine,17,Thursday,11,3,12,215
Neurology,14,Thursday,77,1,9,532
Neurology,9,Friday,16,2,17,305
Cardiology,15,Monday,89,7,11,228
Emergency,11,Sunday,7,7,6,115
Pediatrics,19,Thursday,83,1,10,576
Emergency,4,Saturday,89,7,9,248
Orthopedics,1,Tuesday,14,6,2,70
Orthopedics,9,Saturday,37,6,6,126
General Medicine,0,Wednesday,50,7,3,102
Cardiology,6,Sunday,63,7,7,155
Cardiology,16,Friday,56,1,7,393
Cardiology,15,Tuesday,10,5,5,95
General Medicine,23,Friday,6,8,12,236
Orthopedics,2,Monday,33,8,11,227
Emergency,13,Thursday,44,3,2,114
General Medicine,9,Tuesday,65,3,5,190
General Medicine,21,Wednesday,72,7,18,330
Emergency,6,Sunday,72,4,10,256
Cardiology,16,Monday,33,6,3,84
Pediatrics,5,Monday,66,9,14,311
Emergency,22,Friday,64,2,1,218
Orthopedics,21,Monday,88,2,14,449
Neurology,3,Tuesday,45,6,16,349
Neurology,16,Friday,91,3,1,174
General Medicine,8,Monday,86,1,6,535
Neurology,3,Sunday,93,2,15,564
Pediatrics,6,Wednesday,69,7,4,112
Cardiology,22,Sunday,68,4,15,385
Orthopedics,1,Saturday,83,2,18,579
Pediatrics,16,Tuesday,67,8,1,56
Orthopedics,23,Wednesday,52,4,14,339
Orthopedics,7,Wednesday,24,4,3,90
Cardiology,22,Friday,41,2,1,161
General Medicine,14,Thursday,68,1,9,482
Neurology,14,Friday,95,1,4,543
Cardiology,7,Tuesday,90,3,17,421
Pediatrics,15,Tuesday,9,6,3,65
General Medicine,18,Friday,38,7,0,39
Pediatrics,10,Thursday,43,9,17,289
General Medicine,1,Sunday,71,5,19,443
Pediatrics,22,Friday,85,9,5,158
Cardiology,23,Tuesday,66,8,19,412
General Medicine,16,Thursday,92,1,19,600
General Medicine,15,Tuesday,28,3,13,250
Orthopedics,14,Thursday,7,8,9,139
Orthopedics,12,Thursday,75,9,17,311
Emergency,14,Friday,93,4,8,241
Pediatrics,3,Friday,71,6,11,266
Orthopedics,15,Friday,83,4,9,247
Emergency,11,Thursday,97,9,18,332
Orthopedics,3,Thursday,54,2,5,266
Pediatrics,2,Tuesday,33,6,13,282
General Medicine,21,Wednesday,78,3,7,240
Neurology,16,Friday,36,4,13,263
Pediatrics,21,Saturday,91,2,10,386
Cardiology,17,Tuesday,43,8,15,253
Orthopedics,17,Tuesday,13,8,19,311
Orthopedics,22,Monday,18,1,5,214
General Medicine,16,Friday,72,6,14,282
Cardiology,11,Sunday,68,1,14,557
General Medicine,22,Tuesday,24,6,13,270
Cardiology,20,Monday,32,7,11,187
Neurology,23,Saturday,18,2,1,82
Orthopedics,3,Saturday,48,9,7,184
Orthopedics,11,Sunday,81,8,18,325
Neurology,22,Friday,99,9,13,313
Emergency,21,Thursday,43,4,4,115
General Medicine,20,Monday,32,4,8,167
Neurology,19,Thursday,68,8,12,226
General Medicine,14,Saturday,93,1,8,597
Pediatrics,22,Saturday,36,8,13,274
Orthopedics,15,Wednesday,13,7,4,72
General Medicine,4,Wednesday,32,7,1,57
Cardiology,20,Sunday,99,9,6,155
General Medicine,14,Wednesday,21,7,15,250
Pediatrics,16,Wednesday,91,2,10,391
Orthopedics,17,Sunday,81,1,10,572
Neurology,4,Tuesday,59,1,11,560
Pediatrics,12,Wednesday,14,7,12,198
Orthopedics,18,Tuesday,84,5,7,198
General Medicine,12,Tuesday,10,4,15,240
Emergency,17,Friday,52,5,0,56
Emergency,13,Tuesday,79,6,12,258
Cardiology,3,Tuesday,71,6,10,274
Orthopedics,3,Wednesday,96,1,3,600
Emergency,19,Tuesday,45,2,3,178
Neurology,19,Thursday,83,3,14,355
Orthopedics,18,Sunday,64,4,2,126
Neurology,12,Wednesday,81,6,18,349
Neurology,11,Sunday,46,9,1,51
Emergency,6,Monday,85,2,5,295
Orthopedics,11,Wednesday,75,8,7,161
General Medicine,20,Tuesday,32,9,16,264
Pediatrics,3,Thursday,17,2,4,140
Emergency,1,Sunday,85,9,1,93
Emergency,1,Wednesday,19,7,11,222
General Medicine,4,Thursday,40,9,4,100
Orthopedics,22,Sunday,96,6,9,268
Orthopedics,9,Monday,19,2,8,187
Neurology,9,Saturday,79,8,19,345
General Medicine,8,Monday,60,9,7,154
General Medicine,12,Saturday,99,8,0,67
Orthopedics,6,Friday,8,2,5,102
Neurology,4,Saturday,56,8,10,232
Emergency,9,Friday,95,3,2,192
Cardiology,9,Wednesday,14,3,14,244
Pediatrics,5,Friday,98,9,10,252
Emergency,18,Thursday,49,9,4,101
Orthopedics,20,Friday,88,9,15,284
Pediatrics,7,Thursday,33,4,6,148
Cardiology,0,Sunday,57,7,5,140
Cardiology,16,Sunday,33,8,8,147
Neurology,6,Saturday,27,5,6,124
Pediatrics,13,Saturday,61,1,2,347
Neurology,20,Saturday,54,9,10,187
Emergency,20,Friday,25,6,11,204
General Medicine,16,Saturday,47,3,10,237
General Medicine,8,Friday,14,3,1,43
General Medicine,16,Friday,80,1,0,409
Pediatrics,4,Tuesday,34,8,1,53
General Medicine,19,Tuesday,55,2,13,347
Emergency,7,Friday,37,1,12,372
Neurology,5,Sunday,22,7,4,93
Pediatrics,10,Thursday,82,9,1,71
Neurology,18,Wednesday,26,6,18,298
Pediatrics,3,Monday,68,8,16,344
Neurology,17,Tuesday,25,8,10,175
Cardiology,0,Friday,5,9,15,284
Neurology,12,Monday,19,7,19,307
General Medicine,13,Tuesday,40,9,17,288
Cardiology,23,Wednesday,51,9,19,384
Neurology,0,Thursday,58,1,7,486
Pediatrics,10,Friday,90,6,1,97
Pediatrics,16,Wednesday,36,8,16,276
Pediatrics,3,Sunday,62,9,10,233
Orthopedics,11,Tuesday,50,4,13,276
Emergency,9,Friday,58,2,15,377
Pediatrics,5,Monday,37,9,14,290
Cardiology,0,Sunday,43,9,14,299
Pediatrics,6,Sunday,27,8,2,59
Orthopedics,20,Saturday,47,3,6,179
General Medicine,15,Thursday,59,5,11,235
Cardiology,23,Sunday,6,2,2,69
Orthopedics,13,Tuesday,70,3,18,398
General Medicine,22,Thursday,42,1,9,425
Cardiology,19,Friday,33,4,7,159
Neurology,19,Saturday,71,5,15,305
Emergency,5,Wednesday,75,2,15,501
Emergency,21,Thursday,40,3,11,251
Orthopedics,4,Monday,33,6,4,122
General Medicine,23,Tuesday,41,6,19,389
Emergency,20,Monday,91,7,5,148
General Medicine,17,Thursday,49,9,5,109
General Medicine,14,Saturday,20,4,7,137
Orthopedics,5,Wednesday,35,5,16,347
Orthopedics,18,Wednesday,38,2,11,268
Orthopedics,0,Monday,54,6,13,311
Emergency,0,Friday,69,4,1,122
Orthopedics,12,Friday,86,5,18,365
Emergency,2,Saturday,66,7,5,150
Orthopedics,9,Wednesday,47,6,17,305
Pediatrics,20,Monday,60,8,3,94
General Medicine,2,Monday,19,6,4,108
Orthopedics,8,Monday,52,8,5,111
Cardiology,7,Thursday,53,4,14,288
General Medicine,2,Saturday,85,7,5,169
General Medicine,12,Friday,48,3,7,195
Orthopedics,5,Friday,14,1,8,237
Neurology,12,Thursday,24,9,5,92
Orthopedics,22,Tuesday,74,9,1,83
General Medicine,19,Thursday,12,6,15,243
Cardiology,19,Saturday,49,2,19,421
General Medicine,11,Monday,38,8,0,38
Cardiology,12,Thursday,55,6,15,287
Emergency,1,Monday,8,7,0,15
Pediatrics,20,Saturday,43,1,0,220
General Medicine,23,Sunday,88,3,6,303
Orthopedics,22,Saturday,28,1,15,450
Emergency,15,Wednesday,92,1,16,600
Pediatrics,22,Monday,59,1,15,600
Orthopedics,5,Friday,30,4,15,331
Neurology,18,Thursday,29,7,5,105
Orthopedics,20,Sunday,40,7,17,293
Cardiology,12,Saturday,75,5,2,113
Cardiology,16,Monday,78,6,7,174
Neurology,22,Sunday,62,2,3,255
Emergency,8,Tuesday,16,5,3,69
Pediatrics,16,Wednesday,5,7,16,254
Orthopedics,1,Tuesday,54,9,4,131
Cardiology,18,Saturday,29,6,13,226
Emergency,18,Tuesday,84,4,14,323
Neurology,23,Tuesday,9,3,11,227
General Medicine,6,Wednesday,87,9,12,236
Cardiology,21,Wednesday,72,7,17,314
Neurology,9,Wednesday,10,6,13,216
Orthopedics,9,Sunday,30,7,18,308
Pediatrics,19,Wednesday,59,8,6,137
Cardiology,8,Tuesday,43,5,5,131
Cardiology,16,Friday,13,3,4,90
Orthopedics,14,Friday,49,3,3,135
General Medicine,1,Wednesday,18,2,17,369
Emergency,3,Sunday,59,8,13,285
Pediatrics,18,Thursday,13,1,15,306
Cardiology,16,Monday,19,8,19,304
Pediatrics,4,Saturday,41,3,13,331
Cardiology,6,Sunday,54,9,4,95
Pediatrics,17,Thursday,88,2,10,380
Neurology,20,Saturday,76,9,11,217
Cardiology,21,Thursday,25,6,17,281
Pediatrics,6,Thursday,61,1,3,358
Emergency,16,Friday,23,5,12,207
Neurology,6,Monday,97,9,19,348
Neurology,3,Thursday,62,6,12,279
Emergency,7,Wednesday,99,7,3,125
Pediatrics,12,Saturday,10,4,6,115
Orthopedics,3,Sunday,8,1,1,77
Emergency,5,Friday,47,5,17,370
Pediatrics,4,Saturday,97,2,5,389
Emergency,11,Wednesday,46,8,15,269
Emergency,3,Wednesday,7,4,2,59
Cardiology,23,Thursday,5,1,14,299
Pediatrics,8,Wednesday,59,7,19,341
Orthopedics,3,Monday,19,2,9,228
Cardiology,18,Wednesday,51,3,8,209
Emergency,23,Thursday,89,9,10,255
General Medicine,13,Saturday,50,9,13,228
Emergency,4,Wednesday,62,2,11,392
Emergency,17,Friday,99,3,6,265
Pediatrics,9,Sunday,75,9,10,200
Pediatrics,18,Friday,85,1,16,600
Cardiology,11,Friday,87,2,8,341
Orthopedics,17,Saturday,43,2,12,302
Cardiology,16,Tuesday,7,3,15,246
Neurology,23,Sunday,34,3,2,120
Emergency,10,Friday,39,2,4,163
General Medicine,2,Friday,61,8,16,339
Emergency,22,Tuesday,33,8,0,41
Emergency,16,Saturday,54,8,8,170
Cardiology,0,Sunday,66,2,16,492
General Medicine,14,Friday,56,9,12,226
General Medicine,8,Thursday,18,7,14,227
General Medicine,14,Saturday,39,5,7,145
Cardiology,23,Sunday,32,7,7,168
Emergency,2,Friday,62,8,1,70
Cardiology,21,Friday,34,9,9,157
Pediatrics,18,Tuesday,94,2,4,299
Pediatrics,12,Sunday,11,6,15,242
Cardiology,11,Thursday,43,9,18,295
General Medicine,19,Saturday,99,6,0,95
Emergency,0,Wednesday,73,2,12,449
Cardiology,20,Monday,39,1,3,252
Cardiology,16,Thursday,56,3,6,199
Cardiology,12,Wednesday,18,5,0,32
Neurology,0,Thursday,67,7,1,81
Pediatrics,9,Sunday,40,3,15,305
General Medicine,14,Wednesday,95,9,13,263
Orthopedics,6,Sunday,28,4,4,109
General Medicine,21,Wednesday,44,2,13,319
Orthopedics,17,Thursday,33,3,16,304
Neurology,15,Tuesday,57,5,11,228
Cardiology,13,Thursday,26,3,19,337
Neurology,17,Sunday,76,5,11,247
Neurology,6,Thursday,19,4,2,68
Emergency,16,Wednesday,73,3,1,147
Pediatrics,17,Monday,68,6,14,280
Orthopedics,11,Wednesday,8,8,10,157
Cardiology,7,Friday,79,4,9,241
Orthopedics,21,Thursday,22,9,17,272
General Medicine,1,Saturday,46,6,1,66
Orthopedics,6,Thursday,34,5,6,135
General Medicine,3,Tuesday,19,3,6,151
Pediatrics,17,Sunday,74,5,6,172
General Medicine,5,Saturday,59,5,13,310
Orthopedics,8,Wednesday,57,4,1,94
Orthopedics,8,Tuesday,20,6,1,44
General Medicine,13,Thursday,77,3,14,343
Neurology,7,Wednesday,38,1,10,347
Pediatrics,18,Wednesday,31,7,9,169
Emergency,2,Friday,17,7,2,66
Cardiology,17,Friday,31,4,16,286
Orthopedics,4,Monday,77,9,8,209
Cardiology,13,Friday,73,2,14,406
Emergency,3,Sunday,90,1,13,600
Cardiology,6,Saturday,35,3,18,334
Emergency,19,Wednesday,7,7,16,253
General Medicine,11,Friday,34,9,19,316
Neurology,1,Monday,25,2,16,376
Orthopedics,10,Thursday,10,6,15,243
Emergency,13,Saturday,96,3,19,449
Cardiology,21,Friday,36,5,7,155
Orthopedics,22,Wednesday,46,9,6,147
Neurology,15,Thursday,66,3,11,283
General Medicine,19,Sunday,93,1,0,475
Orthopedics,5,Wednesday,36,5,11,265
Emergency,22,Thursday,90,1,5,600
Neurology,3,Sunday,92,8,15,346
Cardiology,14,Sunday,43,7,17,293
Neurology,23,Saturday,68,2,18,546
Neurology,0,Wednesday,34,9,2,71
Pediatrics,6,Friday,67,5,2,108
Neurology,11,Friday,35,7,4,99
Neurology,9,Monday,91,4,2,159
Orthopedics,4,Thursday,44,1,18,595
Cardiology,11,Monday,37,8,4,95
Orthopedics,17,Tuesday,67,1,13,545
Orthopedics,9,Friday,29,3,15,284
Emergency,5,Thursday,40,6,0,47
Orthopedics,11,Saturday,28,8,16,262
Pediatrics,6,Monday,99,8,10,224
Pediatrics,17,Saturday,62,2,8,279
Emergency,1,Saturday,43,9,3,89
General Medicine,9,Saturday,50,4,1,85
Cardiology,14,Monday,81,4,8,232
Cardiology,11,Tuesday,14,2,4,107
Orthopedics,16,Sunday,91,1,3,506
Orthopedics,3,Sunday,86,7,4,149
General Medicine,6,Monday,36,3,17,329
Orthopedics,8,Sunday,40,4,12,243
Cardiology,18,Wednesday,32,9,4,90
Neurology,22,Sunday,20,6,18,358
Pediatrics,6,Friday,20,1,2,138
Neurology,22,Monday,22,9,17,331
Neurology,1,Sunday,12,9,5,110
Cardiology,5,Monday,84,5,5,197
Neurology,17,Tuesday,79,8,4,121
General Medicine,5,Wednesday,74,7,0,76
Emergency,12,Monday,5,8,7,117
Orthopedics,18,Friday,66,9,0,51
Emergency,1,Sunday,80,2,5,341
Pediatrics,11,Friday,42,5,19,340
Orthopedics,14,Sunday,96,8,13,259
Neurology,13,Monday,49,3,10,245
Pediatrics,5,Saturday,62,6,1,95
Orthopedics,17,Sunday,85,6,3,136
General Medicine,4,Saturday,5,7,12,241
General Medicine,17,Wednesday,36,3,6,164
General Medicine,2,Friday,12,8,5,107
General Medicine,2,Saturday,44,8,2,75
Neurology,21,Friday,60,9,8,159
Emergency,21,Sunday,67,8,13,249
Orthopedics,9,Sunday,92,3,19,454
Neurology,18,Wednesday,78,6,10,218
General Medicine,2,Sunday,78,9,4,130
Emergency,11,Wednesday,40,1,13,405
Pediatrics,15,Saturday,93,3,18,429
Pediatrics,16,Sunday,61,2,7,265
Pediatrics,6,Monday,78,8,6,154
General Medicine,12,Thursday,87,6,6,176
Pediatrics,23,Tuesday,49,8,2,89
Cardiology,1,Thursday,83,2,2,291
Orthopedics,3,Thursday,84,6,17,391
Orthopedics,9,Friday,6,7,12,192
General Medicine,6,Wednesday,97,8,0,58
Cardiology,23,Friday,72,9,4,134
Neurology,16,Saturday,54,5,3,112
Neurology,19,Tuesday,33,3,15,286
Pediatrics,5,Saturday,99,2,14,564
Emergency,18,Monday,85,8,17,321
Neurology,4,Tuesday,14,1,16,377
Emergency,9,Friday,31,6,13,228
Orthopedics,8,Sunday,19,2,13,250
Emergency,12,Sunday,64,3,18,391
Orthopedics,18,Friday,35,8,5,110
Cardiology,20,Saturday,25,1,12,317
Cardiology,23,Friday,64,6,17,378
General Medicine,5,Friday,62,3,14,396
General Medicine,3,Thursday,45,6,6,166
Pediatrics,23,Monday,50,3,18,438
Neurology,2,Sunday,49,8,16,347
Pediatrics,2,Thursday,30,5,8,195
Orthopedics,3,Friday,55,4,10,273
Pediatrics,4,Wednesday,40,9,4,107
Emergency,7,Thursday,56,5,1,72
Orthopedics,15,Friday,85,4,14,318
General Medicine,21,Sunday,55,8,11,213
Cardiology,2,Friday,7,8,9,167
General Medicine,23,Monday,18,8,9,193
Neurology,11,Saturday,53,4,19,365
Orthopedics,7,Tuesday,81,1,10,560
Orthopedics,12,Thursday,95,2,9,383
Emergency,3,Thursday,5,4,6,130
Neurology,13,Thursday,61,2,13,357
Cardiology,13,Friday,21,3,12,231
Orthopedics,12,Monday,54,9,4,93
Orthopedics,5,Friday,18,9,18,351
Emergency,16,Friday,63,9,9,176
Pediatrics,3,Saturday,85,7,7,200
Cardiology,7,Wednesday,7,4,17,267
General Medicine,16,Monday,44,1,0,227
Neurology,2,Thursday,93,3,4,270
Orthopedics,16,Tuesday,70,8,10,199
Orthopedics,8,Thursday,38,4,19,339
General Medicine,1,Friday,94,2,10,471
Cardiology,12,Monday,99,8,15,292
Pediatrics,19,Sunday,13,7,9,151
Orthopedics,1,Monday,98,9,14,332
Cardiology,19,Monday,88,2,6,328
General Medicine,10,Wednesday,25,5,14,246
Emergency,21,Thursday,97,6,15,316
Pediatrics,14,Wednesday,29,2,5,157
Neurology,10,Sunday,48,2,10,278
Orthopedics,22,Sunday,29,4,16,346
Cardiology,2,Saturday,13,8,14,279
Emergency,2,Tuesday,66,5,15,354
Neurology,11,Saturday,30,9,1,46
Cardiology,23,Friday,61,4,3,167
Cardiology,4,Wednesday,41,3,18,411
Neurology,19,Wednesday,20,8,5,102
Emergency,6,Saturday,41,1,17,478
General Medicine,6,Friday,80,9,10,208
Emergency,12,Monday,28,4,8,164
Pediatrics,8,Friday,30,9,2,60
Orthopedics,20,Thursday,24,8,1,35
Neurology,12,Saturday,13,3,17,285
General Medicine,11,Friday,91,3,14,368
Neurology,12,Monday,33,9,17,276
Neurology,23,Friday,35,3,18,406
Emergency,9,Wednesday,23,4,14,250
Orthopedics,0,Tuesday,24,9,16,319
Pediatrics,7,Wednesday,91,4,17,356
Cardiology,21,Sunday,31,3,17,317
Cardiology,15,Tuesday,98,7,10,230
Neurology,12,Sunday,89,6,17,333
Orthopedics,2,Friday,48,1,2,333
General Medicine,2,Thursday,39,8,12,261
Emergency,23,Friday,75,1,13,600
Orthopedics,4,Monday,26,4,3,104
Orthopedics,10,Friday,78,6,17,334
Emergency,6,Tuesday,91,6,4,157
Neurology,20,Wednesday,19,7,13,217
Orthopedics,23,Thursday,98,5,11,329
Cardiology,9,Sunday,17,5,6,112
Emergency,9,Friday,8,4,11,195
General Medicine,19,Friday,86,6,7,183
Pediatrics,1,Wednesday,60,7,2,88
Neurology,2,Thursday,27,1,0,177
Emergency,7,Saturday,38,9,2,53
Pediatrics,10,Sunday,21,8,10,179
Pediatrics,12,Friday,32,7,17,290
General Medicine,6,Friday,18,9,6,104
Orthopedics,12,Saturday,38,3,8,196
General Medicine,1,Sunday,79,4,3,182
Orthopedics,5,Tuesday,61,7,9,228
Orthopedics,8,Tuesday,81,6,17,326
Emergency,19,Monday,59,2,15,375
Emergency,1,Wednesday,70,2,11,421
Neurology,17,Thursday,97,7,18,358
Orthopedics,15,Friday,41,9,2,59
Pediatrics,11,Sunday,72,9,7,151
Cardiology,6,Friday,80,7,18,335
Neurology,6,Monday,30,8,8,142
Emergency,16,Sunday,65,3,18,391
General Medicine,12,Sunday,96,1,16,600
Neurology,10,Friday,71,7,12,243
